Date,Month,Platform,Customer_Segment,Campaign_Type,Region,Ad_Spend,Campaign_Score,Competitor_Index,Economic_Index,Discount_Pct,Channels_Used,CSAT_Score,Website_Traffic,Seasonal_Factor,Sales
2022-01-01,1,Google Ads,Young Adults (26-35),Retargeting,North,20639.07,68.08,0.571,1.052,17.2,4,3.29,4927,0.75,18846.12
2022-01-01,1,Print,Young Adults (26-35),Seasonal Promo,North,9009.31,82.66,0.11,0.932,12.29,5,5.0,6505,0.75,9325.88
2022-01-01,1,Email,Corporate,Seasonal Promo,East,22874.27,33.82,0.821,1.013,8.47,2,3.85,5386,0.75,19297.07
2022-01-01,1,Email,Young Adults (26-35),Brand Awareness,Central,18149.34,87.06,0.537,0.918,8.26,3,4.2,3500,0.75,10675.17
2022-01-01,1,Social Media,Young Adults (26-35),Brand Awareness,Central,4923.1,80.72,0.795,0.785,23.93,3,2.92,8713,0.75,4713.06
2022-01-01,1,Social Media,Seniors (51+),Lead Generation,East,22444.32,76.08,0.806,1.1,29.22,3,4.19,6897,0.75,14391.92
2022-01-01,1,Social Media,Young Adults (26-35),Lead Generation,West,31682.77,54.32,0.456,0.85,10.44,4,3.86,4425,0.75,23007.41
2022-01-01,1,TV,Seniors (51+),Lead Generation,North,15858.63,73.5,0.506,1.011,1.17,4,4.03,5059,0.75,12439.12
2022-01-01,1,Email,Youth (18-25),Retargeting,North,42304.47,78.68,0.433,1.033,1.1,3,3.81,9107,0.75,21825.21
2022-01-01,1,Email,Young Adults (26-35),Brand Awareness,East,,76.92,0.46,1.033,22.78,1,3.74,2713,0.75,5238.35
2022-01-01,1,Social Media,Youth (18-25),Brand Awareness,East,21331.72,70.9,0.816,0.972,16.57,3,3.65,1616,0.75,13307.19
2022-01-01,1,Print,Youth (18-25),Lead Generation,West,4145.25,59.92,0.731,1.027,23.51,5,3.76,1592,0.75,3640.02
2022-01-01,1,TV,Corporate,Retargeting,Central,4384.88,46.21,0.201,1.047,20.92,3,4.53,2955,0.75,9651.91
2022-01-01,1,Social Media,Youth (18-25),Brand Awareness,South,7108.66,40.93,0.588,1.073,27.23,3,3.62,21686,0.75,4087.34
2022-01-01,1,Social Media,Middle-Aged (36-50),Retargeting,Central,5207.94,40.48,0.897,1.173,26.57,1,4.93,5612,0.75,5401.78
2022-01-01,1,Social Media,Young Adults (26-35),Lead Generation,North,7723.36,74.65,0.576,1.023,23.65,4,3.83,2492,0.75,8700.98
2022-01-01,1,Google Ads,Young Adults (26-35),Seasonal Promo,East,10784.33,70.79,0.729,1.006,14.26,4,4.5,6016,0.75,11319.18
